ID,Date,Amount
1,20170101,11.77
2,20170112,12
2,20170112,77
3,20170102,20.76
3,20170330,20.76
3,20170402,19.54
3,20171115,57.45
3,20171125,20.96
3,20180528,16.99
4,20170101,29.33
4,20170118,29.73
4,20170802,14.96
4,20171212,26.48
5,20170101,29.33
5,20170114,13.97
5,20170204,38.9
5,20170411,45.55
5,20170531,38.71
5,20170616,26.14
5,20170722,28.14
5,20170915,40.47
5,20171208,46.46
5,20171212,40.47
5,20180103,37.47
6,20170101,20.99
7,20170101,28.74
7,20171011,97.43
7,20180322,138.5
8,20170101,9.77
8,20170213,13.97
8,20170617,45.29
8,20170703,36.76
8,20171116,2.99
8,20171116,50.43
8,20171225,13.99
8,20180329,24.46
9,20170101,23.54
9,20170513,30.33
9,20180608,41.98
10,20170121,39.31
11,20170101,13.49
11,20170128,19.3
11,20170317,12.77
11,20180220,12.99
12,20170101,57.06
13,20170101,72.94
14,20170101,29.92
15,20170101,52.87
16,20170101,9.77
16,20170713,31.6
16,20170726,28.51
16,20170910,9.99
17,20170101,73.22
18,20170104,14.96
19,20170101,163.35
19,20170610,11.77
20,20170101,363.6
20,20170118,289.41
21,20170101,63.34
21,20170113,11.77
22,20170101,14.37
23,20170101,24.74
24,20170101,47.28
24,20180120,10.49
25,20170101,24.96
25,20170718,13.9
25,20170817,12.25
25,20171024,12.99
25,20180417,12.99
25,20180525,10.49
25,20180603,24.97
25,20180608,24.98
26,20170101,42.72
26,20170126,59.97
27,20170107,83.41
27,20170112,52.46
28,20170101,39.51
28,20170127,25.74
28,20170308,25.74
29,20170101,46.72
29,20170206,67.31
29,20170309,41.1
29,20170405,44.52
29,20170420,13.97
29,20170504,26.14
29,20170530,32.45
29,20170713,37.65
29,20170713,26.74
29,20170906,14.79
29,20171102,35.97
29,20180426,48.45
30,20170101,14.37
30,20170214,13.97
31,20170101,59.06
31,20180407,42.89
31,20180409,38.06
31,20180525,37.04
32,20170101,49.97
32,20170124,16.36
32,20180311,11.88
33,20170101,41.69
33,20170121,29.92
33,20170216,73.42
33,20170502,40.74
33,20170514,54.25
33,20170601,14.96
33,20170604,30.13
33,20170829,35.69
33,20170906,11.77
33,20171002,45.47
33,20171003,34.98
33,20171005,54.97
33,20171013,69.45
33,20171019,48.97
33,20171031,54.46
33,20171106,66.45
33,20171109,67.47
33,20171110,13.99
33,20171118,14.49
33,20171123,55.96
33,20171125,36.97
33,20180113,36.97
33,20180227,34.47
33,20180305,35.35
33,20180313,42.48
34,20170101,23.14
35,20170101,26.73
35,20170927,15.49
36,20170101,37.91
36,20170203,11.77
37,20170129,31.26
37,20170306,29.13
37,20170628,13.97
37,20170816,14.37
37,20171102,39.47
37,20180513,27.48
38,20170101,12.49
39,20170101,33.33
39,20170313,50.68
39,20170514,28.93
39,20180305,49.55
39,20180311,58.96
40,20170101,28.34
40,20170308,13.97
40,20170503,15.96
40,20170830,14.96
40,20170914,44.47
40,20170914,13.99
40,20170914,22.99
40,20171025,25.98
40,20171213,16.99
40,20171214,54.96
40,20180215,12.58
40,20180215,2.99
40,20180225,36.34
40,20180308,14.42
41,20170101,17.99
42,20170101,26.55
42,20170102,11.77
43,20170101,29.33
43,20170216,25.74
43,20170301,10.77
43,20171128,36.99
43,20180524,14.49
44,20170101,30.32
44,20170104,14.37
44,20170619,14.96
45,20170101,14.37
46,20170101,41.53
46,20170125,60.11
46,20170316,45.09
46,20170809,58.07
46,20170824,57.11
46,20171002,26.98
46,20171112,26.98
47,20170101,37.91
47,20170105,25.74
47,20170126,44.97
47,20170216,15.37
47,20170223,30.92
47,20170309,17.96
47,20170309,4.79
47,20170316,27.94
47,20170406,13.97
47,20170407,14.79
47,20170419,19.97
47,20170423,41.77
47,20170615,19.99
47,20170622,4.79
47,20170809,9.99
47,20171101,19.49
47,20180225,12.99
47,20180318,14.49
47,20180322,22.98
47,20180414,13.99
47,20180606,12.99
48,20170101,52.72
48,20170126,73.5
48,20170210,37.93
48,20170323,12.49
48,20170325,46.5
48,20170609,29.92
48,20170730,42.85
48,20170815,15.36
48,20170824,24.37
48,20171014,25.49
48,20171017,25.98
48,20171020,20.99
48,20171103,41.98
48,20171111,42.47
48,20171124,16.98
48,20171204,9.49
48,20180109,40.47
48,20180322,51.47
48,20180608,9.49
48,20180613,29.48
49,20170101,27.94
50,20170101,6.79
51,20170127,71.42
51,20170707,111.93
51,20170901,104.6
51,20171129,53.95
51,20171129,13.99
51,20171201,11.49
52,20170102,80.95
52,20170106,23.14
52,20170119,33.98
52,20170122,27.74
52,20170129,38.33
52,20170518,59.84
52,20170621,104.72
52,20180508,76.98
53,20170101,19.99
53,20170819,14.37
53,20171210,11.49
53,20180127,11.88
53,20180209,14.49
53,20180504,13.99
54,20170101,33.96
55,20170101,66.09
55,20170110,15.36
56,20170101,27.73
56,20170117,15.96
56,20170601,21.54
56,20171217,63.96
57,20170101,57.86
58,20170101,20.99
59,20170101,13.99
59,20170109,11.77
59,20170125,10.77
60,20170201,21.75
61,20170101,155.65
62,20170101,32.91
62,20170117,17.96
62,20170213,13.97
62,20170308,24.54
62,20170314,28.14
62,20170514,14.55
62,20170521,5.78
62,20170827,15.36
