"brand","sales","price","feat","modePrice","discount"
"dominicks",6463.99999999398,1.58,0,1.58,0
"dominicks",83840.0000373198,1.39,1,1.58,1
"dominicks",6592.00000007048,2.09,0,1.58,0
"dominicks",12159.9999997549,1.58,0,1.58,0
"dominicks",175360.00004528,0.99,1,1.58,1
"dominicks",8000.00000030421,1.79,0,1.58,0
"dominicks",8192.00000016967,1.59,0,1.58,0
"dominicks",447.999999993286,1.89,0,1.58,0
"dominicks",93248.0000415069,0.89,1,1.58,1
"dominicks",4736.00000017124,1.89,0,1.58,0
"dominicks",3967.9999999811,1.58,0,1.58,0
"dominicks",3903.99999987123,1.79,0,1.58,0
"dominicks",20032.0000000035,1.59,1,1.58,0
"dominicks",2816.00000006214,1.58,0,1.58,0
"dominicks",6719.99999988444,1.58,0,1.58,0
"dominicks",2048.00000008315,1.79,0,1.58,0
"dominicks",8000.00000030421,1.89,0,1.58,0
"dominicks",45247.9999884054,1.59,1,1.58,0
"dominicks",5119.99999982821,1.89,0,1.58,0
"dominicks",46911.9999884445,1.79,1,1.58,0
"dominicks",29887.9999991461,1.49,0,1.58,1
"dominicks",28480.000013502,0.99,0,1.58,1
"dominicks",10752.0000003986,1.58,0,1.58,0
"dominicks",20991.9999990802,1.74,0,1.58,0
"dominicks",11647.9999995752,1.58,1,1.58,0
"dominicks",53823.9999820971,1.39,1,1.58,1
"dominicks",6784.00000019172,1.59,0,1.58,0
"dominicks",49792.0000230008,2.29,1,1.58,0
"dominicks",12032.0000001249,1.89,0,1.58,0
"dominicks",7808.00000005521,1.59,1,1.58,0
"dominicks",6912.00000011134,1.58,0,1.58,0
"dominicks",6784.00000019172,2.09,1,1.58,0
"dominicks",29119.9999909547,1.69,0,1.58,0
"dominicks",24896.0000005448,1.79,0,1.58,0
"dominicks",6719.99999988444,1.58,0,1.58,0
"dominicks",21823.9999990574,1.58,1,1.58,0
"dominicks",14016.000000334,1.69,1,1.58,0
"dominicks",11072.0000004711,1.39,0,1.58,1
"dominicks",10752.0000003986,1.58,0,1.58,0
"dominicks",6143.99999983099,1.79,0,1.58,0
"dominicks",5503.99999992746,1.58,0,1.58,0
"dominicks",4543.99999999551,1.58,0,1.58,0
"dominicks",11583.9999997046,1.89,0,1.58,0
"dominicks",1279.99999998251,2.49,0,1.58,0
"dominicks",18623.9999994196,1.59,1,1.58,0
"dominicks",33280.0000021584,1.58,1,1.58,0
"dominicks",7744.00000033754,1.69,0,1.58,0
"dominicks",7551.99999980866,1.89,0,1.58,0
"dominicks",4991.99999975407,2.05,0,1.58,0
"dominicks",1983.99999991108,1.59,0,1.58,0
"dominicks",60800.0000027811,1.58,0,1.58,0
"dominicks",8127.99999985156,1.39,0,1.58,1
"dominicks",9023.99999965854,1.58,0,1.58,0
"dominicks",1024.00000000056,2.19,0,1.58,0
"dominicks",896.000000022462,2.69,0,1.58,0
"dominicks",26495.9999950986,1.58,1,1.58,0
"dominicks",12672.0000005803,1.58,0,1.58,0
"dominicks",34688.0000069612,1.59,1,1.58,0
"dominicks",14655.9999997961,1.59,1,1.58,0
